Video Title,Video URL
Veg Food In Thailand | First Time in Cruise Ship | Lived in the Tallest Tower | Day 2 | Vlog 37,https://www.youtube.com/watch?v=Vqa7wLcQr38
The Thailand VLOG Day 1 | Went to Bangkok with childhood friends | Shin Chan's rice cake | VLOG 36,https://www.youtube.com/watch?v=eDUPpDsWJSc
2AM thoughts | Things don't go as planned | Raw Video,https://www.youtube.com/watch?v=1GKC0LSUgMk
A day in Life | Diet Update | Road to 14%,https://www.youtube.com/watch?v=oJ6eywxoPC8
My Lower Back Injury Story | Welcome to new home,https://www.youtube.com/watch?v=nHbe-8u2FbI
Finding New Home | Road to 14% Ep.2,https://www.youtube.com/watch?v=Rd_qViAy49M
Changing Cities Shorts Vlog 1 | Road to 14% Ep.1,https://www.youtube.com/watch?v=mlwBFy0rLnk
A New Beginning | Road to 14%(Body Fat),https://www.youtube.com/watch?v=q2RA8BbNXRU
Anjana Teaser @Rkank20,https://www.youtube.com/watch?v=lpge99-c7Lw
Post contest condition| Bday celebration | VLOG 35,https://www.youtube.com/watch?v=sJx_YgUm76I
Show Day | The prep ends... |VLOG 34,https://www.youtube.com/watch?v=sPtUIOyGBUg
Joining the Competition: ICN Men's Physique | Trip to Butterfly Beach | VLOG 33,https://www.youtube.com/watch?v=Vwoc-dzQK9A
GOA trip begins| Travelling on Peak Week | Road to ICN Men's Physique @icnindia6970 | VLOG 32,https://www.youtube.com/watch?v=8iSwLx1KfPQ
Explaining my peak week | Last posing practice before leaving for GOA | VLOG 31,https://www.youtube.com/watch?v=O9dpcw6NX8A
Last Day in Hyderabad | VLOG 30,https://www.youtube.com/watch?v=pqN4K6KEdZE
The Successful Nagarjuna Sagar Dam and Ethipothala Falls Trip | VLOG 29,https://www.youtube.com/watch?v=cPYEYJUBrJE
Some posing before the competition 🤘🔥,https://www.youtube.com/watch?v=Kj1c62nk7rk
The Bengaluru Trip | VLOG 28,https://www.youtube.com/watch?v=jkSYlqak_c4
My Carb-Cycling Experience | Shocked with the weight results for a sec | VLOG 27,https://www.youtube.com/watch?v=4e_dnzv6L00
Guitar session | The Night Ride Pact | Returning Back | VLOG 26,https://www.youtube.com/watch?v=hwYnUa0gl4Y
The Diwali VLOG | VLOG 25,https://www.youtube.com/watch?v=p276Zau2SUc
Back to home | Badminton semifinals | VLOG 24,https://www.youtube.com/watch?v=0glPxAd9Vsg
The Zoomcar error | Failed Nagarjuna Dam Trip | VLOG 23,https://www.youtube.com/watch?v=iQLimUMjEhE
My challenges with Intermittent fasting | VLOG 22,https://www.youtube.com/watch?v=UEKGCwqDC_w
The Paintball War | VLOG 21,https://www.youtube.com/watch?v=_gDZFOZ5W34
Final Decision | Exploring the unexplored | VLOG 20,https://www.youtube.com/watch?v=SYBoO7YiMN4
Competition Dates are out !!!| VLOG 19 @icnindia6970,https://www.youtube.com/watch?v=F5NBcWquFVk
Returning Back |Sad Vibes | VLOG 18,https://www.youtube.com/watch?v=AcC_cxQbiu8
Night ride before leaving | Showing where we spent our childhood | VLOG 17,https://www.youtube.com/watch?v=hGuVkv3g6aQ
Mom explaining her worshiping experience(Odia)| Trip to Naraj Dam Cuttack | Rakhi VLOG 16,https://www.youtube.com/watch?v=gcS854lt7PI
Back Home in Bhubaneswar | Gaadi Kharab | Playing Uno | VLOG 15,https://www.youtube.com/watch?v=JGKQjTT-oxg
Returning Back to Home | Friends Came to See Off | Crazy VLOG 14,https://www.youtube.com/watch?v=tyYy_3tLt6k
Unplanned trip to Charminar! | VLOG 13,https://www.youtube.com/watch?v=XpXLLLornKc
Full Day of Eating (2600 Calories) | Sudden plan to Charminar at the end | VLOG 12,https://www.youtube.com/watch?v=SXpCGNRMNlY
Singur Dam Trip | Sharing some personal thoughts | How I deal with my Homesickness | VLOG 11,https://www.youtube.com/watch?v=ppV59MZ1hLU
Got a new accommodation where I can cook | Finally starting my prep | VLOG 10,https://www.youtube.com/watch?v=DA8hcuPqGw8
Sunday Bakchodi and Music | VLOG 09,https://www.youtube.com/watch?v=4wDkg6ieMWc
Full Day Eating(Vegetarian Day) | Deadlift PR | VLOG 08,https://www.youtube.com/watch?v=jts_ETRPD04
Arm Blaster Program | Revealing my Workout split | Long Walks for Chicken | VLOG 07,https://www.youtube.com/watch?v=cZ-BFgTkNWc
Changing Places and Adjusting to Food | Slightly Missing Home| VLOG 06,https://www.youtube.com/watch?v=vNDn3hxQ3GA
Garmi pe charcha | VLOG 3 Shorts,https://www.youtube.com/watch?v=UoPr_-zC2TA
Peeche maat mudo | VLOG 3 Shorts,https://www.youtube.com/watch?v=Bfxx4ZgBJ7k
Workout at apartment gym | VLOG 03 Shorts,https://www.youtube.com/watch?v=h7sq8tDjlKI
Daring Kaam | Shorts from VLOG 04,https://www.youtube.com/watch?v=qkf6zbKmTOU
Shocking Haircut | Shorts from VLOG 04,https://www.youtube.com/watch?v=VMuoHIuJhTw
Breaking Records | Shorts from Vlog 04,https://www.youtube.com/watch?v=feSV3nqVhls
Returning Back| Missing Home |VLOG 05,https://www.youtube.com/watch?v=THXQNt1kbyU
Meeting some friends | Breaking Records in Game Zone | VLOG 04,https://www.youtube.com/watch?v=fj6Mb5U7crA
Travelling Back to Home | Upgrading Camera | VLOG 03,https://www.youtube.com/watch?v=uibinx4zZ88
A Day In My Life | Diet and Gym Update | VLOG 02,https://www.youtube.com/watch?v=Yh4jFcLYyWA
